Chương,Trang PDF,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích đáp án
Chương 2,21,Hồ Chí Minh đã dùng hình tượng nào dưới đây để chỉ CNTB?,Con bạch tuộc.,Con chim đại bàng,Con đỉa hai vòi,"Cả a, b và c đều sai",C,
Chương 2,21,"Theo Hồ Chí Minh, học chủ nghĩa Mác- Lênin là để làm gì?",Học thuộc các luận điểm lí luận.,Để chứng tỏ trình độ lí luận,Để sống với nhau có tình có nghĩa.,"Cả a, b và c đều sai",D,
Chương 2,21,"Phong trào cách mạng Việt Nam cuối thế kỷ XIX, đầu thế kỷ XX có những đặc điểm gì chung?",Tinh thần yêu nước rất cao,,Ý chí căm thù giặc sâu sắc,,,
Chương 2,21,"Theo Hồ Chí Minh, “giặc nội xâm” bao gồm những loại nào?",Tham ô,Gây tiếng vang lớn trong quần chúng nhân dân,Lãng phí,"Cả a, b và c đều đúng",D,
Chương 2,21,"Theo Hồ Chí Minh, ở đời và làm người thì phải làm gì?",Yêu nước,Thương nhân loại bị áp bức,Thương dân,"Cả a, b, c đều đúng.",D,
Chương 2,21,Hồ Chí Minh tiếp thu tư tưởng văn hoá phương Đông chủ yếu từ:,Nho giáo và Thiên Chúa giáo,,Nho giáo và Phật giáo,,C,
Chương 2,21,Nhờ tiếp thu yếu tố nào mà Nguyễn Ái Quốc đã từ một nhà yêu nước,Chủ nghĩa Mác – Lênin,Phật giáo và Thiên Chúa giáo,Chủ nghĩa tam dân,"Cả a, b và c đều đúng. trở thành một người cộng sản?",A,
Chương 2,21,Vì sao giai cấp nông dân không thể lãnh đạo được cuộc cách mạng,Họ đông nhưng không mạnh.,Họ không có chính đảng.,Họ không đại diện cho PTSX tiên tiến,Họ không có hệ tư tưởng độc lập và không đại diện cho PTSX tiên tiến.,D,
Chương 2,21,Việt Nam Quốc Dân Đảng được thành lập vào thời gian nào?,12/ 1927,,11/ 1926,7/1925,A,
Chương 2,21,"Tại hội Đảng toàn quốc lần thứ VI, Đảng ta quyết định đường lối đổi",Đổi mới chính trị,Đổi mới kinh tế,Đổi mới tư duy.,Đổi mới toàn diện đất nước.,D,
Chương 2,21,Cơ quan ngôn luận của tổ chức Việt Nam Thanh niên cách mạng đồng chí hội là tờ báo:,Người cùng khổ,,Thanh niên,,C,
Chương 2,21,"Bác Hồ về nước ngày, tháng, năm nào?",28/1/1941,28/1/1942,12/8/1942,Lao động,A,
Chương 2,22,Chọn cùm từ thích hợp điền vào chỗ trống [……] theo tư tưởng Hồ Chí Minh. “Muốn người ta giúp cho thì trước hết mình phải [……]”,Giúp người ta trước,Tự giúp lấy mình đã,Tự cố gắng đứng dậy,Kêu gọi sự giúp đỡ,B,
Chương 2,22,Một trong những giá trị truyền thống tốt đẹp của dân tộc Việt Nam được Hồ Chí Minh tiếp thu để hình thành tư tưởng của mình là:,Chủ nghĩa Mác – Lênin,Chủ nghĩa yêu nước Việt Nam,Truyền thống đoàn kết của dân tộc Việt Nam,Những mặt tích cực của Nho giáo,B,
Chương 2,22,Một trong những giá trị văn hóa phương Đông được Hồ Chí Minh tiếp thu để hình thành tư tưởng của mình là:,Chủ nghĩa Mác – Lênin,,Chủ nghĩa tam dân,,,
Chương 2,22,Tư tưởng Hồ Chí Minh được hình thành và phát triển qua mấy giai,3 giai đoạn,4 giai đoạn,5 giai đoạn,6 giai đoạn,C,
Chương 2,22,Nguyễn Ái Quốc mở lớp huấn luyện chính trị tại số nhà bao nhiêu phố Văn Minh (Quảng Châu)?,Số 13/1,Số 20/1,Số 15/l,Số 22/1,B,
Chương 2,22,Giai đoạn hình thành cơ bản tư tưởng về con đường cách mạng Việt Nam được tính từ: a - Trước 1911 c – Từ 1920 đến 1930,,,,,,
Chương 2,22,Giai đoạn phát triển và thắng lợi của tư tưởng Hồ Chí Minh được b - Năm 1911 đến 1920 d – Từ 1930 đến 1945 tính từ:,Từ năm 1920 đến 1930,,Từ năm 1930 đến 1945,,,
Chương 2,22,"Giai đoạn vượt qua thử thách , kiên trì con đướng đã xác định cho",,Từ năm 1941 đến 1945 d 1945 đế. Từ năm n 1969 Cách mạng Việt Nam của Hồ Chí Minh được tính từ : a - Năm 1911 đến 1920 b - Năm 1920 đến 1930 c - Năm 1930 đến 1945 d - Năm 1945 đến 1969,,,B,
Chương 2,22,Hồ Chí Minh được UNESCO ra quyết định công nhận là anh hùng giải phóng dân tộc Việt Nam và danh nhân văn hóa kiệt xuất của thế giới vào năm nào?,Năm 1969,Năm 1975,Năm 1987,Năm 1990,D,
Chương 2,22,"Chọn cụm từ đúng điền vào chỗ trống […...] Tháng 7 năm 1920, Hồ Chí Minh đọc tác phẩm [......] của Lênin",Tác phẩm “Làm gì”,Sơ thảo lần thứ nhất Luận cương về các vấn đề dân tộc,Sơ thảo lần thứ nhất về các vấn đề dân tộc và thuộc địa,Sơ thảo lần thứ nhất Luận cương về các vấn đề thuộc địa,C,
Chương 2,23,Chọn cụm từ đúng điền vào chỗ trống […...] Trong Cương lĩnh Chính trị đầu tiên của Đảng do Nguyễn Ái Quốc soạn thảo đã xác định phương hướng chiến lược là: “làm tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới […...]”.,Chủ nghĩa tư bản,Chủ nghĩa xã hội,Xã hội cộng sản,Thời kỳ quá độ lên chủ nghĩa xã hội,C,
Chương 2,23,Nền tảng tư tưởng và kim chỉ nam cho hành động của Đảng và cách mạng Việt Nam là [......] và tư tưởng Hồ Chí Minh.,Chủ nghĩa Mác-Lênin;,Triết học Mác- Lênin;,Kinh tế chính trị Mác- Lênin;,"Cả A, B và C đều sai.",,
Chương 2,23,"Trong các nguồn gốc hình thành tư tưởng Hồ Chí Minh, nguồn gốc quan trọng nhất, quyết định là […...]",Tư tưởng Hồ Chí Minh.,Chủ nghĩa yêu nướC.,Chủ nghĩa Mác-Lênin.,Tinh hoa văn hóa nhân loại.,C,
Chương 2,23,Yếu tố nào là cơ sở thế giới quan và phương pháp luận của tư tưởng Hồ Chí Minh?,Tư tưởng Hồ Chí Minh.,Chủ nghĩa yêu nướC.,Chủ nghĩa Mác-Lênin.,Tinh hoa văn hóa nhân loại.,C,
Chương 2,23,Chọn cụm từ đúng điền vào chỗ trống […...] theo Hồ Chí Minh: “Muốn cứu nước và […...] không con đường nào khác con đường […...]”.,Giải phóng dân tộc; cách mạng vô sản;,Giải phóng dân tộc; cách mạng tư sản;,Giành độc lập; cách mạng vô sản;,"Giành độc lập, tự do; cách mạng văn hóa;",A,
Chương 2,24,"Năm 1941, Nguyễn ái Quốc viết một tác phẩm có câu mởđầu: ""Dân ta phải biết sử ta/ Cho tường gốc tích nước nhà Việt Nam"". Đó là tác phẩm: A.""Đường cách mệnh”",,"""Lịch sử nước ta""","""Bài ca du kích""","""Di chúc""",B,
Chương 2,24,Luận điểm nào sau đây là sai? Tư tưởng Hồ Chí Minh bắt nguồn từ:,Truyền thống đạo đức của dân tộc Việt Nam B.Yêu cầu của cách mạng,,"Kế thừa tư tưởng đạo đức phương Đông và tinh hoa văn hóa nhân loại D.Tư tưởng đạo đức và những tấm gương của Mác, Ăngghen, Lênin.",,A,
Chương 2,24,Hãy lựa chọn câu trả lời đúng nhất:,Hồ Chí Minh là anh hùng giải phóng dân tộc của việt Nam,Hồ Chí Minh là anh hùng giải phóng của dân tộc Việt Nam và danh nhân văn hóa kiệt xuất của thế giới.,Hồ Chí Minh là anh hùng giải phóng dân tộc của Việt Nam và là một nhà văn hóa kiệt xuất,Hồ Chí Minh là anh hùng giải phóng của dân tộc và là nhà văn hóa lớn của thế giới.,B,
Chương 2,24,"Chọn từ điền vào chố trống [.......] để hoàn thiện câu: Văn kiện Đại hội XI của Đảng chỉ rõ: Tư tưởng Hồ Chí Minh [.........] cho cuộc đấu tranh của nhân dân ta giành thắng lợi, là [......] to lớn của Đảng và dân tộc ta.",Mở đường; tài sản tinh thần,Soi đường; tài sản tinh thần,Chỉ đường; tài sản tinh thần,Dẫn đường; tài sản tinh thần,B,
Chương 2,24,Cuộc vận động “Học tập và làm theo tấm gương đạo đức Hồ Chí Minh” được Đảng ta phát động cho đối tượng nào?,Toàn thể cán bọ công chức,,Trong toàn Đảng và hệ thống chính trị,,C,
Chương 3,24,Chon phương án trả lời đúng với tư tưởng Hồ Chí Minh:,"Từ năm 890 đến 1911 : Thời kỳ nghiên cứu, khảo sát thực tế, đến với chủ nghia Mác –","Từ năm 1911 đến 1920: Thời kỳ hình thành tư tưởng yêu nước, chí hướng cứu nước",Từ năm 1921 đến 1930: Thời kỳ hình thành cơ bản con đường cách mạng Việt Nam,"Từ năm 1945 đến 1969: Thời kỳ vượt qua khó khăn, kiên trì con đường đã chọn",C,
Chương 3,24,Bản yêu sách của nhân dân An Nam được Nguyễn Ái Quốc gửi đến hội nghị Versailles năm 1919 nhằm:,Đòi quyền bình đẳng về mặt pháp lý và đòi quyền tự do dân chủ cho nhân dân An Nam,Đòi quyền bình đẳng và quyền tự quyết cho nhân dân An Nam,"Đòi quyền được sống, quyền mưu cầu hạnh phúc cho nhân dân An Nam",Đòi quyền bình đẳng cho nhân dân An Nam,A,
Chương 3,25,"Theo Hồ Chí Minh, độc lập dân tộc phải:",Gắn liền với tự do của nhân dân,Gắn liền với quyền tồn tại của dân tộc,"Gắn liền với tự do, hạnh phúc của nhân dân","Gắn liền với tự do, hạnh phúc của nhân dân và quyền tự quyết của dân tộc[<br>]",C,
Chương 3,25,“Làm cho nước Nam được hoàn toàn độc lập ... dân chúng được tự do ... thủ tiêu hết các thức quốc trái ...”. Đoạn trích này trên được trích trong:,Học thuyết tam dân của Tôn Trung Sơn,Chánh cương vắn tắt của Đảng,Tuyên ngôn độc lập,Tất cả đều sai,B,
Chương 3,25,"“nước Việt Nam là một, dân tộc Việt Nam là một”, được Hồ Chí Minh phát biểu lần đầu vào thời gian nào:",Tháng 2 năm 1958,Tháng 2 năm 1957,Tháng 2 năm 1956,Tháng 2 năm 1955,A,
Chương 3,25,"“Dù khó khăn gian khổ đến mấy, nhân dân ta nhất định sẽ hoàn toàn thắng lợi. Đế quốc Mỹ nhất định phải cút khỏi nước ta. Tổ quốc ta nhất định sẽ thống nhất. Đồng bào Nam Bắc nhất định sum họp một nhà”. Đoạn trích này của Hồ Chí Minh được trích trong:",Di chúc,Lời kêu gọi toàn quốc kháng chiến,Thư gửi đồng bào Nam bộ,Chánh cương vắn tắt,A,
Chương 3,25,Một trong những điểm sáng tạo của Hồ Chí Minh khi nghiên cứu chủ nghĩa Mác Lênin thể hiện ở quan điểm:,"Giải phóng dân tộc gắn với giải phóng giai cấp, trong đó giải phóng dân tộc là trước hết, trên hết; độc lập dân tộc gắn liền với chủ nghĩa xã hội.","Giải phóng dân tộc gắn với giải phóng đất nước, trong đó giải phóng dân tộc là trước hết, trên hết; độc lập dân tộc gắn liền với chủ nghĩa xã hội.","Giải phóng dân tộc gắn với giải phóng người dân, trong đó giải phóng dân tộc là trước hết, trên hết; độc lập dân tộc gắn liền với chủ nghĩa xã hội.","Giải phóng dân tộc gắn với giải phóng giai cấp, trong đó giải phóng dân tộc là quan trọng nhất; độc lập dân tộc gắn liền với chủ nghĩa xã hội.",A,
Chương 3,26,Chọn nội dung đúng nhất trong tư tưởng Hồ Chí Minh. Đảng cộng sản là:,"Đội tiên phong của giai cấp công nhân và nhân dân lao động kiên quyết nhất, hăng hái nhất, trong sạch nhất, tận tâm tận lực phụng sự Tổ quốc","Vừa là đội tiên phong của giai cấp công nhân vừa là đội tiên phong của nhân dân lao động kiên quyết nhất, hăng hái nhất, trong sạch nhất, tận tâm tận lực phụng sự Tổ quốc.","Vừa là đội tiên phong của giai cấp công nhân kiên quyết nhất, hăng hái nhất, trong sạch nhất, tận tâm tận lực phụng sự Tổ quốc","Tổ chức kiên quyết nhất, hăng hái nhất, trong sạch nhất, tận tâm tận lực phụng sự Tổ quốc",B,
Chương 3,26,"Theo Hồ Chí Minh, lực lượng cách mạng giải phóng dân tộc phải bao gồm:",Tầng lớp trí thức và công nhân,"Công nhân, nông dân, trí thức, quân đội.","Công nhân, nông dân, trí thức, quân đội, người Việt ở nước ngoài.",Toàn dân.,D,
Chương 3,26,"Trong các lực lượng của cách mạng, theo Hồ Chí Minh:",Trí thức là chủ của cách mệnh là gốc của cách mệnh,Công nhân là chủ của cách mệnh là gốc của cách mệnh,Công nông là chủ của cách mệnh là gốc của cách mệnh,Nông dân là chủ của cách mệnh là gốc của cách mệnh,C,
Chương 3,26,"Theo Hồ Chí Minh, chủ nghĩa xã hội là:","CNXH trước hết nhằm làm cho nhân dân lao động thoát nạn bần cùng, là làm cho mọi người có công ăn việc làm, được ấm no và sống một đời hạnh phúc, là làm sao cho dân giàu nước mạnh.",là làm sao cho dân giàu nước mạnh.,"CNXH trước hết là làm cho mọi người có công ăn việc làm, được ấm no và sống một đời hạnh phúc, là làm sao cho dân giàu nước mạnh.",CNXH trước hết nhằm làm cho nhân dân lao động thoát nạn bần cùng,A,
Chương 3,27,"Theo Hồ Chí Minh, các nước tiến lên chủ nghĩa cộng sản diễn ra qua:",1 phương thức,2 phương thức,3 phương thức,4 phương thức,B,
Chương 3,27,"Theo Hồ Chí Minh, các nước tiến lên chủ nghĩa xã hội:",Theo những con đường giống nhau,Theo con đường khác nhau,Theo những con đường đồng thời với nhau,Tất cả đều sai,B,
Chương 3,27,Chọn đáp án sai trong tư tưởng Hồ Chí Minh về XHCN:,XHCN là xã hội có chế độ dân chủ,XHCN là xã hội có nền kinh tế phát triển cao dựa trên lực lượng sản xuất hiện đại và chế độ công hữu về tư liệu sản xuất chủ yếu,"Xã hội XHCN có trình độ phát triển cao về văn hóa và đạo đức, bảo đảm sự công bằng, hợp lý trong các quan hệ xã hội",CNXH là công trình của Đảng Cộng sản,D,
Chương 3,27,"Trong cách mạng xã hội chủ nghĩa, theo Hồ Chí Minh:",“Xây” quan trọng hơn “chống”,“Chống” quan trọng hơn “xây”,“Xây” đi đôi với “chống”,“Xây” là quyết định sự thành công của cách mạng.,C,
Chương 3,27,"Theo Hồ Chí Minh, thời kỳ quá độ là thời kỳ:","Cải biến sâu sắc nhất, nhưng phức tạp, lâu dài, khó khăn, gian khổ.","Cải biến sâu sắc nhất, nhưng lâu dài, khó khăn, gian khổ.","Cải biến sâu sắc nhất, nhưng lâu dài",Tất cả đều sai.,A,
Chương 3,27,Đặc điểm lớn nhất của thời kỳ quá độ ở Việt Nam theo Hồ Chí Minh là:,"Từ một nước nông nghiệp lạc hậu tiến thẳng lên CNXH, không trải qua giai đoạn phát triển tư bản chủ nghĩa","Từ một nước phong kiến lạc hậu tiến thẳng lên CNXH, không trải qua giai đoạn phát triển tư bản chủ nghĩa","Từ một nước nông nghiệp lạc hậu tiến thẳng lên CNXH, trải qua giai đoạn phát triển tư bản chủ nghĩa","Từ một nước công nghiệp lạc hậu tiến thẳng lên CNXH, không trải qua giai đoạn phát triển tư bản chủ nghĩa",A,
Chương 3,28,Có bao nhiêu điều kiện để đảm bảo độc lập dân tộc gắn liền với CNXH ở Việt Nam,1,2,3,4,C,
Chương 3,28,"Điền vào chỗ trống trong đoạn trích sau của Hồ Chí Minh: “Hỡi anh em các nước thuộc địa, Anh em phải làm thế nào để được giải phóng? Vận dụng công thức của Các Mác, chúng tôi xin nói với anh em rằng công cuộc giải phóng anh em chỉ có thể thực hiện được bằng ......”:",Sự hỗ trợ của Quốc tế cộng sản,Sự hỗ trợ của Phương Tây,Sự nổ lực của bản thân anh em,Sự nổ lực của người dân,D,
Chương 3,28,Theo Hồ Chí Minh: vấn đề độc lập được hiểu là:,"Độc lập là quyền bất khả xâm phạm, thiêng liêng nhất của các dân tộc",Tự do là quyền thiêng liêng của tất cả các dân tộc,"Độc lập, tự do là thiêng liêng, bất khả xâm phạm của dân tộc","Độc lập, tự do là thiêng liêng, bất khả xâm phạm của tất cả các dân tộc",D,
Chương 3,28,"Cách mạng giải phóng dân tộc, trong điều kiện của Việt Nam, muốn thắng lợi phải do:",Giai cấp công nhân lãnh đạo,Đảng Cộng sản lãnh đạo,Tầng lớp trí thức lãnh đạo,Trí thức và công nhân lãnh đạo,B,
Chương 3,29,Ai là người khai phá tư tưởng độc lập dân tộc gắn liền với CNXH ở Việt Nam ?,V.I Lênin,Đặng Tiểu Bình,,,,
Chương 3,29,Động lực cơ bản và trực tiếp của cách mạng XHCN là gì?,Giai cấp nông dân,Giai cấp công nhân,Giai cấp tư sản,"Cả a, b, c đều đúng",B,
Chương 3,29,"Theo Hồ Chí Minh, để phát huy sức mạnh cá nhân người lao động, cần",Tác động vào nhu cầu và lợi ích của con người,Tác động vào động lực chính trị - tinh thần của con người,Tác động vào sở thích của cá nhân con người,Tác động vào nguyện vọng và mong muốn của họ,A,
Chương 3,29,"Theo Hồ Chí Minh, nhiệm vụ lịch sử của thời kỳ quá độ là:",Xây dựng nền tảng vật chất và kỹ thuật của chủ nghĩa xã hội,Xây dựng nền tảng vật chất và kỹ thuật cho chủ nghĩa xã hội; cải tạo xã hội cũ và xây dựng xã hội mới,Cải tạo nền kinh tế cũ và xây dựng nền kinh tế mới,Đập tan chế độ thực dân và phong kiến,B,
Chương 3,29,"Theo Hồ Chí Minh, trong thời kỳ quá độ, thành phần kinh tế phải đảm bảo ưu tiên cho nó phát triển là:",Kinh tế hợp tác xã,Kinh tế tư bản tư nhân,Kinh tế quốc doanh,Kinh tế cá thể - tiểu chủ,B,
Chương 3,29,Hồ Chí mInh đề cập đến chủ nghĩa xã hội nhiều nhất vào thời gian nào?,1920-1930,1930 – 1945,1945-1954,1954-1969,D,
Chương 3,29,"Theo Hồ Chí Minh, mục tiêu của chủ nghĩa xã hội là:",Không ngững cải thiện đời sống nhân dân,Không ngừng cải thiện và nâng cao đời sống của nhân dân lao động,Không ngừng nâng cao đời sống nhân dân,Đảm bảo quyền làm chủ của nhân dân,B,
Chương 3,29,"Trong chế độ xã hội chủ nghĩa, theo Hồ Chí Minh: “Chủ nghĩa xã hội là lấy nhà máy, xe lửa, ngân hàng làm [……]",Công hữu,Sở hữu chung,,,,
Chương 3,29,"Theo Hồ Chí Minh, đấu tranh chống chủ nghĩa cá nhân nghĩa là:",Chỉ bảo vệ lợi ích của tập thể,Bảo vệ lợi ích cá nhân,,,,
Chương 3,29,"Theo Hồ Chí Minh, động lực quan trọng nhất của chủ nghĩa xã hội là",Khoa học – kỹ thuật,,Văn hóa,Tư hữu gì?,D,
Chương 3,29,"Theo Hồ Chí Minh, chế độ chính trị mà chúng ta xây dựng là chế độ:",Do nhân dân lao động làm chủ,Do nhân dân làm chủ,,Sự giúp đỡ của quốc tế,B,
Chương 3,29,"Theo Hồ Chí Minh, nền kinh tế mà chúng ta xây dựng phải được tạo",Nền nông nghiệp hiện đại,Nền công nghiệp hiện đại,Do giai cấp công nhân làm chủ,Chế độ công hữu về tư liệu sản xuất,D,
Chương 3,30,"Theo Hồ Chí Minh, kẻ thù hung ác của chủ nghĩa xã hội là gì?",Khoa học – kỹ thuật phát triển,Cơ cấu công – nông nghiệp hợp lý,Sỡ hữu xã hội về tư liệu sản xuất,Sỡ hữu tư nhân về tư liệu sản xuất,C,
Chương 3,30,Về tổ chức hợp tác xã hội Hồ Chí Minh nhấn mạnh nguyên tắc:,Làm đồng loạt,Chủ nghĩa cá nhân,Khẩn trương xây dựng cho được các hợp tác xã,Làm nhanh chóng,D,
Chương 3,30,Chọn cụm từ điền vào chỗ trống […...] đúng với tư tưởng Hồ Chí Minh: Việt Nam đi lên CNXH từ một nước thuộc địa nửa phong kiến […...],Bỏ qua giai đoạn phát triển TBCN,,Không kinh qua giai đoạn phát triển TBCN,Xuyên qua CNTB,D,
Chương 3,30,Chọn cụm từ điền vào chỗ trống […...] đúng với tư tưởng Hồ Chí,Công nghiệp,"Bỏ qua chế độ TBCN Minh: “Nông dân giàu thì nước ta giàu, […….] thịnh thì nước ta thịnh”",Thương nghiệp,,B,
Chương 3,30,"Trong thời kỳ quá độ lên chủ nghĩa xã hội, Hồ Chí Minh chủ trương",Không xóa bỏ quyền sở hữu về tư liệu sản xuất của họ,Xóa bỏ quyền sở hữu về tư liệu sản xuất của họ,Đưa họ vào kinh tế tập thể,Đánh đổ họ với tư cách là giai cấp bóc lột,A,
Chương 3,30,"Theo Hồ Chí Minh, cách làm của chủ nghĩa xã hội là:",Phải dựa vào sự giúp đỡ của các nước xã hội chủ nghĩa,Nhà nước phải ban phát từ trên xuống,"Đem tài dân, sức dân, của dân để làm lợi cho dân",Dựa vào Nhà nước và sự giúp đỡ của các nước khác,C,
Chương 3,30,"Theo Hồ Chí Minh, con đường đi lên chủ nghĩa xã hội trong nông nghiệp bao gồm những bước:",Cải cách ruộng đất,Xã hội hóa nông thôn,Xây dựng hợp tác xã cấp thấp và cấp cao,"Cả a, b và c đều đúng",D,
Chương 3,30,Hồ Chí Minh nói về loại hình hợp tác xã khi nào?,1920,1927 .,1945,1954,B,
Chương 3,30,"Luận điểm nào sau đây là sai: Để đảm bảo thực hiện thắng lợi CNXH ở Việt Nam trong thời kỳ quá độ, theo Hồ Chí Minh phải:","Tăng cường sự lãnh đạo của Đảng, vai trò quản lý của Nhà nước",Đẩy mạnh quan hệ quốc tế,"Phát huy tính tích cực, chủ động của các tổ chức chính trị - xã hội","Xây dựng đội ngũ cán bộ đủ sức, đủ tài",B,
Chương 3,30,"Để đảm bảo thực hiện thắng lợi CNXH ở Việt Nam trong thời kỳ quá độ, theo Hồ Chí Minh phải:","Tăng cường sự lãnh đạo của Đảng, vai trò quản lý của Nhà nước","Phát huy tính tích cực, chủ động của các tổ chức chính trị - xã hội","Xây dựng đội ngũ cán bộ đủ sức, đủ tài",Tất cả các phương án đều đúng,D,
Chương 3,31,"Theo Hồ Chí Minh, chủ nghĩa cộng sản dễ thích ứng ở đâu?",Các nước Châu Âu,,Các nước Tư bản phát triển,Các nước kém phát triển,,
Chương 3,31,"Theo tư tưởng Hồ Chí Minh, trong thời kỳ quá độ còn tồn tại hình",Sở hữu của nhà nước,Sở hữu của người lao động riêng lẻ và sỡ hữu của nhà tư bản,Sở hữu của hợp tác xã,Sở hữu công hữu,C,
Chương 3,31,"Theo tư tưởng Hồ Chí Minh, muốn xây dựng chủ nghĩa xã hội, trước hết cần có cái gì?","Con người năng động, sáng tạo",Con người xã hội chủ nghĩa,Có cơ sở vật chất,Có Đảng lãnh đạo,B,
Chương 3,31,"Theo Hồ Chí Minh, nguyên tắc phân phối chủ yếu trong chủ nghĩa xã hội là gì?","Làm theo năng lực, hưởng theo nhu cầu","Làm theo nhu cầu, hưởng theo lợi ích","Làm theo năng lực, hưởng theo lao động",Phân phối bình quân cho tất cả mọi người,B,
Chương 3,31,"Theo Hồ Chí Minh, muốn cho chủ nghĩa xã hội được thực hiện, cần có những yếu tố nào?",Đất kỹ nghệ.,Tất cả mọi người được phát triển hết khả năng của mình.,Nông nghiệp,"Cả a,b,c đều đúng",D,
Chương 3,31,"Chọn phương án trả lời sai: Theo Hồ Chí Minh, để xác định bước đi và tìm cách làm cho chủ nghĩa xã hội phù hợp với Việt Nam cần phải:","Có thể tham khảo, học tập kinh nghiệm của các nước anh em",Có người lãnh đạo xuất chúng,"Xuất phát từ điều kiện thực tế, đặc điểm dân tộc, nhu cầu và khả năng thực tế của nhân dân.",Quán triệt các nguyên lý cư bản của chủ nghĩa Mác -Lênin,B,
Chương 3,32,"Theo Hồ Chí Minh, đặc trưng nổi bật về chính trị của chủ nghĩa xã hội là gì?",Đảng Cộng sản lãnh đạo,Mọi người được hưởng các quyền tự do dân chủ,Thực hiện một nền dân chủ triệt để,Mọi lợi ích đều từ nhân dân,C,
Chương 3,32,"Theo Hồ Chí Minh, nội dung nào được coi là nhiệm vụ trung tâm của thời kỳ quá độ lên chủ nghĩa xã hội:",Công nghiệp hóa,Phát triển kinh tế,Phát triển kinh tế và văn hóa,Xây dựng thành công chủ nghĩa xã hội,A,
Chương 3,32,"Theo Hồ Chí Minh, quá độ lên Chủ nghĩa xã hội ở Việt Nam là kiểu quá độ:",Trực tiếp,Gián tiếp C.Vừa trực tiếp vừa gián tiếp,,Đặc biệt,B,
Chương 3,32,"Theo Hồ Chí Minh, trong mối quan hệ giữa hai nhiệm vụ cải tạo xã hội cũ và xây dựng xã hội mới thì:","Cải tạo xã hội cũ là nhiệm vụ trung tâm, chủ chốt","Cải tạo xã hội cũ trước, xây xựng xã hội mới sau","Xây dựng xã hội mới là trọng tâm, cốt yếu, chủ chốt, lâu dài",Cải tạo xã hội cũ và xây dựng xã hội mới đều là nhiệm vụ trọng tâm,C,
Chương 3,32,"Theo Hồ Chí Minh, yếu tố nào là hạt nhân trong hệ động lực của chủ nghĩa xã hội?",Sự quản lý của nhà nước,Sự lãnh đạo đúng đắn của Đảng,Kinh tế,Con người,B,
Chương 3,32,"Đường lối công nghiệp hoá xã hội chủ nghĩa, hiện đại hoá ở nước ta được đề ra ở Đại hội nào của Đảng?",Đại hội III (1960),Đại hội V (1982) C.Đại hội IV (1976),,Đại hội VI (1986),A,
Chương 3,33,"Theo Hồ Chí Minh, tại sao cần thực hiện chế độ làm khoán dưới chủ nghĩa xã hội?",Khuyến khích được lợi ích của người lao động,Có lợi cho nhà nước,"Kết hợp được lợi ích của người lao động, lợi ích của tập thể và nhà nước",Khuyến khích được lợi ích của tập thể và xã hội,C,
Chương 3,33,"Theo Hồ Chí Minh, trong thời kỳ quá độ lên chủ nghĩa xã hội ở nước ta còn tồn tại mấy hình thức sở hữu?",2 hình thức,3 hình thức,4 hình thức,5 hình thức,C,
Chương 3,33,"Theo Hồ Chí Minh, trong thời kỳ quá độ lên chủ nghĩa xã hội ở nước ta còn tồn tại mấy thành phần kinh tế?",3,4,5,6,C,
Chương 3,33,"Muốn phát huy động lực của chủ nghĩa xã hội, theo Hồ Chí Minh cần phải chống:","Chia rẽ, bè phái, mất đoàn kết, vô kỷ luật B.Chủ nghĩa cá nhân; tham ô, lãng phí, quan liêu; chia rẽ, bè phái, vô kỷ luật C.Tham ô, lãng phí, quan liêu",,,Chủ nghĩa cá nhân,A,
Chương 3,33,"Theo Hồ Chí Minh, biện pháp nào quan trọng nhất trong xây dựng chủ nghĩa xã hội?","Tranh thủ tối đa sự giúp đỡ, viện trợ quốc tế",Kết hợp cải tạo xã hội cũ và xây dựng xã hội mới,Huy động các nguồn lực sẵn có trong dân,Kết hợp xây dựng và bảo vệ đất nước,B,
Chương 3,33,Đặc điểm nổi bật nhất của tình hình thế giới hiện nay là gì?,Có nguy cơ diễn ra chiến tranh thế giới thứ ba,Nạn khủng bố hoành hành,Xuất hiện các vấn đề toàn cầu,Cuộc cách mạng khoa học và công nghệ phát triển mạnh mẽ.,D,
Chương 3,34,Chọn phương án trả lời sai trong các nhận định sau đây:,Cách mạng khoa học và công nghệ thúc đẩy xu thế toàn cầu hóa,Cách mạng khoa học và công nghệ làm xuất hiện các vấn đề toàn cầu,Cách mạng khoa học và công nghệ là xu thế tất yếu của toàn cầu hóa,Cách mạng khoa học và công nghệ thúc đẩy sự phát triển của thế giới,C,
Chương 3,34,Xu thế phát triển chủ đạo của thế giới hiện nay là:,Đối đầu giữa các quốc gia và dân tộc .,Đụng độ giữa các nền văn minh và các nền văn hóa,"Hòa bình, hợp tác và phát triển",Xung đột dân tộc và tôn giáo,B,
Chương 3,34,Thành tựu nổi bật nhất của Việt Nam về chính trị trong những năm đổi mới là:,Chính trị ổn định .,Phát triển theo định hướng xã hội chủ nghĩa,"GIữ vững độc lập tự chủ, kinh tế phát triển","Không có xung đột sắc tộc, tôn giáo",A,
